created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-06-04T19:28:54-04:00,25.4459,48.9967,395.85,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.33
2025-06-04T19:28:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:29:54-04:00,25.4326,49.0303,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.31
2025-06-04T19:29:55-04:00,,,396,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:29:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:30:54-04:00,25.4753,49.0471,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:30:55-04:00,,,395.7,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:30:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:31:54-04:00,25.4753,49.012,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:31:55-04:00,,,395.4,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:31:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:32:54-04:00,25.4887,48.9662,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.37
2025-06-04T19:32:55-04:00,,,395.25,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:32:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:33:54-04:00,25.4753,49.0349,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:33:55-04:00,,,395.25,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:33:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:34:54-04:00,25.4887,49.0837,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.37
2025-06-04T19:34:55-04:00,,,395.1,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:34:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:35:54-04:00,25.4887,49.0608,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.37
2025-06-04T19:35:55-04:00,,,394.95,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:35:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:36:54-04:00,25.4459,49.0761,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.33
2025-06-04T19:36:55-04:00,,,394.8,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:36:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:37:54-04:00,25.4459,49.1127,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.33
2025-06-04T19:37:55-04:00,,,394.65,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:37:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:38:54-04:00,25.4753,49.0944,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:38:55-04:00,,,394.35,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:38:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:39:54-04:00,25.502,49.0974,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.39
2025-06-04T19:39:55-04:00,,,394.2,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:39:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:40:54-04:00,25.4753,49.0944,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.36
2025-06-04T19:40:55-04:00,,,394.05,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:40:58-04:00,,,,,-61,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:41:54-04:00,25.5314,49.0303,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.42
2025-06-04T19:41:55-04:00,,,393.9,2.738,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:41:58-04:00,,,,,-62,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-06-04T19:42:54-04:00,25.5314,48.983,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,25.42
