created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-04T18:24:37-04:00,22.7089,56.0418,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:24:39-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:25:36-04:00,22.6955,56.0739,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:25:38-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:26:37-04:00,22.6955,56.0067,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:26:39-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:27:38-04:00,22.7089,56.1105,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:27:40-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:28:37-04:00,22.7249,56.0662,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:28:40-04:00,,,,-58,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:29:38-04:00,22.7249,55.9869,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:29:40-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:30:39-04:00,22.7516,56.0479,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:30:41-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:31:38-04:00,22.7516,56.1059,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:31:40-04:00,,,,-53,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:32:39-04:00,22.7649,56.1395,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:32:41-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:33:40-04:00,22.781,56.0754,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:33:42-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:34:39-04:00,22.7516,55.9701,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:34:42-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:35:40-04:00,22.7943,55.9655,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:35:42-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:36:41-04:00,22.7943,56.0342,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:36:43-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:37:41-04:00,22.8077,55.9915,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:37:42-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
