created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-05-28T09:44:37-04:00,20.7702,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:39:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:39:37-04:00,20.7408,55.2728,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.31
2025-05-28T09:34:45-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:34:37-04:00,,55.3002,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:34:36-04:00,20.7702,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:29:44-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:29:36-04:00,20.7836,55.3017,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.36
2025-05-28T09:24:44-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:24:37-04:00,,55.256,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:24:36-04:00,20.7702,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:19:44-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:19:36-04:00,20.7836,55.259,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.36
2025-05-28T09:14:43-04:00,,,,,-30,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:14:37-04:00,,,0.45,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:14:36-04:00,20.7836,55.2789,,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.36
