created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-02T12:57:00-04:00,23.0907,34.0078,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:57:03-04:00,,,,-41,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:58:01-04:00,23.1041,33.9178,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:58:03-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:59:02-04:00,23.0907,33.8109,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T12:59:04-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:00:01-04:00,23.1041,33.8399,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:00:03-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:01:02-04:00,23.0613,33.875,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:01:04-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:02:03-04:00,23.048,33.9391,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:02:05-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:03:03-04:00,23.048,33.9529,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:03:04-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:04:03-04:00,23.0774,34.049,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:04:05-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:05:04-04:00,23.0774,34.049,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:05:06-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:06:04-04:00,23.0774,34.049,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:06:05-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:07:03-04:00,23.0774,33.9956,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:07:05-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:08:04-04:00,23.0907,34.0505,4.0848,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:08:06-04:00,,,,-44,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:09:04-04:00,23.048,34.0322,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:09:05-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:10:03-04:00,23.0907,34.1283,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:10:05-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:11:04-04:00,23.0907,34.0902,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:11:06-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:12:04-04:00,23.0613,34.1375,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:12:05-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:13:03-04:00,23.0613,34.0993,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:13:05-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:14:04-04:00,23.0774,34.1405,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:14:06-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:15:05-04:00,23.0613,34.2962,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:15:07-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:16:04-04:00,23.0774,34.287,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:16:07-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:17:05-04:00,23.0613,34.3481,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:17:07-04:00,,,,-43,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:18:06-04:00,23.048,34.3618,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:18:08-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:19:05-04:00,23.048,34.3236,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:19:08-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:20:06-04:00,23.0213,34.3465,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:20:10-04:00,,,,-84,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:21:07-04:00,23.048,34.3343,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:21:09-04:00,,,,-42,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:22:06-04:00,23.0613,34.3343,4.0885,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-02T13:22:08-04:00,,,,-44,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
