timestamp,raspi_Temperature (°C),raspi_Humidity (%),raspi_Pressure (hPa),raspi_Gas Resistance (Ω),raspi_Violet (450nm),raspi_Blue (500nm),raspi_Green (550nm),raspi_Yellow (570nm),raspi_Orange (600nm),raspi_Red (650nm),raspi_Ambient Light (lux)
2025-06-02 00:00:00+00:00,28.67,20.95,1013.42,102400000,4.69,7.7,12.5,14.33,16.97,11.71,416.1
2025-06-02 00:00:00+00:00,28.65,20.97,1013.43,102400000,4.69,6.42,11.37,13.37,15.97,10.81,416.1
2025-06-02 00:00:00+00:00,28.62,21.0,1013.43,102400000,4.69,6.42,10.23,11.46,13.97,9.0,415.03
2025-06-02 00:00:00+00:00,28.59,21.11,1013.42,102400000,4.69,6.42,10.23,11.46,13.97,9.0,413.41
2025-06-02 00:00:00+00:00,28.54,21.21,1013.43,102400000,4.69,6.42,11.37,12.42,14.97,9.91,412.34
2025-06-02 00:00:00+00:00,28.5,21.25,1013.42,102400000,4.69,6.42,10.23,11.46,13.97,9.0,387.61
2025-06-02 00:00:00+00:00,28.46,21.35,1013.37,102400000,4.69,7.7,12.5,14.33,16.97,11.71,413.95
2025-06-02 00:00:00+00:00,28.42,21.35,1013.34,102400000,4.69,6.42,11.37,12.42,15.97,9.91,417.18
2025-06-02 00:00:00+00:00,28.4,21.34,1013.36,102400000,4.69,6.42,12.5,13.37,15.97,10.81,418.25
2025-06-02 00:00:00+00:00,28.38,21.36,1013.33,102400000,4.69,6.42,12.5,13.37,16.97,10.81,409.11
2025-06-02 00:00:00+00:00,28.37,21.38,1013.3,102400000,4.69,6.42,11.37,13.37,15.97,10.81,401.05
2025-06-02 00:00:00+00:00,28.34,21.45,1013.27,102400000,4.69,5.13,10.23,12.42,14.97,9.91,394.6
2025-06-02 00:00:00+00:00,28.32,21.5,1013.3,102400000,4.69,7.7,12.5,14.33,17.96,11.71,416.64
2025-06-02 00:00:00+00:00,28.31,21.5,1013.28,102400000,4.69,7.7,12.5,14.33,16.97,11.71,424.17
2025-06-02 00:00:00+00:00,28.3,21.55,1013.27,102400000,4.69,6.42,12.5,13.37,16.97,10.81,422.02
2025-06-02 00:00:00+00:00,28.28,21.54,1013.26,102400000,4.69,7.7,12.5,13.37,16.97,10.81,422.55
2025-06-02 00:00:00+00:00,28.27,21.61,1013.29,102400000,4.69,6.42,11.37,13.37,15.97,10.81,414.49
2025-06-02 00:00:00+00:00,28.25,21.61,1013.29,102400000,4.69,6.42,11.37,12.42,14.97,9.91,409.11
2025-06-02 00:00:00+00:00,28.25,21.66,1013.29,102400000,4.69,6.42,12.5,13.37,16.97,10.81,410.73
